seed,horizon_frames,method,field,band,n_low,n_high,power_ratio,truth_power_weighted_transfer_coherence
1701,8,autoregressive_lead2,phi,k4_5,20,25,1.0579703429228318,0.02185663618552936
1701,8,autoregressive_lead2,Vi,k4_5,20,25,0.49050493596317835,0.001980882152540611
1701,8,autoregressive_lead2,Ne,k6_7,30,35,0.26561485303697413,0.00037010596582278505
1701,8,autoregressive_lead2,Pe,k6_7,30,35,0.21686524151667036,0.00012769019591320996
1701,8,autoregressive_lead2,Pi,k6_7,30,35,0.20660414038416788,0.00014368301687490984
1701,8,autoregressive_lead2,phi,k6_7,30,35,0.28473474758790523,0.00012002842080919264
1701,8,autoregressive_lead2,Vi,k6_7,30,35,0.4609517397428531,4.988481443632112e-05
1702,8,autoregressive_lead2,Ne,k1_3,5,15,0.1829852106091546,0.0026616660409857244
1702,8,autoregressive_lead2,Pe,k1_3,5,15,0.20604440843756064,0.0026803115153127247
1702,8,autoregressive_lead2,Pi,k1_3,5,15,0.16794109912401345,0.004204081764159467
1702,8,autoregressive_lead2,phi,k1_3,5,15,0.21598455848039924,0.03331930484883921
1702,8,autoregressive_lead2,Vi,k1_3,5,15,0.08087920426408372,0.02745629740883768
1702,8,autoregressive_lead2,Ne,k4_5,20,25,1.0132292639482336,0.024995215425897208
1702,8,autoregressive_lead2,Pe,k4_5,20,25,0.8143277408107353,0.028115740314199333
1702,8,autoregressive_lead2,Pi,k4_5,20,25,0.8919039737601131,0.025824776562649806
1702,8,autoregressive_lead2,phi,k4_5,20,25,0.9703583044775655,0.0226332104346887
1702,8,autoregressive_lead2,Vi,k4_5,20,25,0.31784774975477725,0.0006026047437191835
1702,8,autoregressive_lead2,Ne,k6_7,30,35,0.28069019523734134,0.000612362134186071
1702,8,autoregressive_lead2,Pe,k6_7,30,35,0.2651695807315891,0.0007861895805044304
1702,8,autoregressive_lead2,Pi,k6_7,30,35,0.2336035490964762,0.0006987846607853131
1702,8,autoregressive_lead2,phi,k6_7,30,35,0.31368186613721716,0.0005258263397215817
1702,8,autoregressive_lead2,Vi,k6_7,30,35,0.2013921953009497,3.6127259587994026e-05
1703,8,autoregressive_lead2,Ne,k1_3,5,15,0.25441988382973185,0.005902648750880353
1703,8,autoregressive_lead2,Pe,k1_3,5,15,0.3028575166347286,0.00276783952696821
1703,8,autoregressive_lead2,Pi,k1_3,5,15,0.2398291078062338,0.004406003352026086
1703,8,autoregressive_lead2,phi,k1_3,5,15,0.23550400484973166,0.03857188164855078
1703,8,autoregressive_lead2,Vi,k1_3,5,15,0.10082691131056211,0.025862198243665587
1703,8,autoregressive_lead2,Ne,k4_5,20,25,1.4793144604937059,0.01697765501276134
1703,8,autoregressive_lead2,Pe,k4_5,20,25,1.3191746928055785,0.020323086942618737
1703,8,autoregressive_lead2,Pi,k4_5,20,25,1.3834344661444975,0.019433293438475472
1703,8,autoregressive_lead2,phi,k4_5,20,25,1.584862427415947,0.020875820689500973
1703,8,autoregressive_lead2,Vi,k4_5,20,25,0.5931606220821359,0.0009923836274064184
1703,8,autoregressive_lead2,Ne,k6_7,30,35,0.4425678044976764,0.00030065868483354895
1703,8,autoregressive_lead2,Pe,k6_7,30,35,0.3614301120191831,0.0005959913048400461
1703,8,autoregressive_lead2,Pi,k6_7,30,35,0.3357775449306511,0.0005705648436546815
